"id","ActivityDate","MVPASession"
"0673689a5e","28/8/2019","[{""start"":349;""end"":354;""duration"":10};{""start"":553;""end"":556;""duration"":8};{""start"":576;""end"":579;""duration"":8};{""start"":634;""end"":637;""duration"":8};{""start"":713;""end"":733;""duration"":25};{""start"":768;""end"":769;""duration"":6};{""start"":800;""end"":806;""duration"":11};{""start"":849;""end"":851;""duration"":7};{""start"":963;""end"":966;""duration"":8};{""start"":1028;""end"":1034;""duration"":11};{""start"":1044;""end"":1053;""duration"":14};{""start"":1084;""end"":1088;""duration"":9};{""start"":1098;""end"":1103;""duration"":10}]"
"0673689a5e","31/8/2019","[{""start"":475;""end"":485;""duration"":15};{""start"":519;""end"":520;""duration"":6};{""start"":545;""end"":553;""duration"":13};{""start"":560;""end"":564;""duration"":9};{""start"":665;""end"":672;""duration"":12};{""start"":682;""end"":694;""duration"":17};{""start"":865;""end"":866;""duration"":6};{""start"":893;""end"":894;""duration"":6};{""start"":956;""end"":968;""duration"":17};{""start"":1042;""end"":1045;""duration"":8};{""start"":1289;""end"":1292;""duration"":8}]"
"0673689a5e","1/9/2019","[{""start"":328;""end"":333;""duration"":10};{""start"":448;""end"":449;""duration"":6};{""start"":557;""end"":558;""duration"":6};{""start"":583;""end"":587;""duration"":9};{""start"":727;""end"":728;""duration"":6};{""start"":779;""end"":781;""duration"":7};{""start"":797;""end"":798;""duration"":6};{""start"":831;""end"":846;""duration"":20};{""start"":868;""end"":883;""duration"":20};{""start"":898;""end"":905;""duration"":12};{""start"":913;""end"":917;""duration"":9};{""start"":938;""end"":973;""duration"":40};{""start"":982;""end"":985;""duration"":8};{""start"":1011;""end"":1017;""duration"":11};{""start"":1038;""end"":1040;""duration"":7};{""start"":1057;""end"":1072;""duration"":20};{""start"":1091;""end"":1113;""duration"":27}]"
"0673689a5e","26/8/2019","[{""start"":474;""end"":475;""duration"":6};{""start"":484;""end"":485;""duration"":6};{""start"":510;""end"":517;""duration"":12};{""start"":528;""end"":530;""duration"":7};{""start"":591;""end"":595;""duration"":9};{""start"":657;""end"":661;""duration"":9};{""start"":707;""end"":715;""duration"":13};{""start"":749;""end"":750;""duration"":6};{""start"":759;""end"":771;""duration"":17};{""start"":802;""end"":806;""duration"":9};{""start"":867;""end"":868;""duration"":6};{""start"":987;""end"":988;""duration"":6};{""start"":1149;""end"":1161;""duration"":17};{""start"":1178;""end"":1179;""duration"":6};{""start"":1286;""end"":1292;""duration"":11};{""start"":1305;""end"":1307;""duration"":7}]"
"0673689a5e","29/8/2019","[{""start"":216;""end"":221;""duration"":10};{""start"":227;""end"":228;""duration"":6};{""start"":313;""end"":317;""duration"":9};{""start"":333;""end"":364;""duration"":36};{""start"":507;""end"":517;""duration"":15};{""start"":536;""end"":545;""duration"":14};{""start"":603;""end"":609;""duration"":11};{""start"":661;""end"":664;""duration"":8};{""start"":724;""end"":733;""duration"":14};{""start"":758;""end"":771;""duration"":18};{""start"":849;""end"":850;""duration"":6};{""start"":887;""end"":888;""duration"":6};{""start"":991;""end"":992;""duration"":6};{""start"":1010;""end"":1012;""duration"":7};{""start"":1036;""end"":1037;""duration"":6};{""start"":1145;""end"":1154;""duration"":14};{""start"":1206;""end"":1220;""duration"":19};{""start"":1277;""end"":1282;""duration"":10}]"
"8325c966ba","28/8/2019","[{""start"":685;""end"":690;""duration"":10};{""start"":720;""end"":767;""duration"":52}]"
"8325c966ba","29/8/2019","[{""start"":425;""end"":464;""duration"":44}]"
"dc129e1fa3","31/8/2019","[{""start"":57;""end"":58;""duration"":6}]"
"dc129e1fa3","1/9/2019","[{""start"":900;""end"":906;""duration"":11};{""start"":1005;""end"":1011;""duration"":11};{""start"":1120;""end"":1121;""duration"":6};{""start"":1127;""end"":1138;""duration"":16};{""start"":1148;""end"":1150;""duration"":7};{""start"":1157;""end"":1173;""duration"":21}]"
"dc129e1fa3","29/8/2019","[{""start"":495;""end"":497;""duration"":7};{""start"":540;""end"":541;""duration"":6};{""start"":703;""end"":745;""duration"":47};{""start"":768;""end"":853;""duration"":90};{""start"":892;""end"":914;""duration"":27};{""start"":924;""end"":930;""duration"":11};{""start"":941;""end"":942;""duration"":6};{""start"":969;""end"":974;""duration"":10};{""start"":992;""end"":995;""duration"":8};{""start"":1122;""end"":1123;""duration"":6};{""start"":1161;""end"":1164;""duration"":8};{""start"":1180;""end"":1181;""duration"":6};{""start"":1203;""end"":1205;""duration"":7}]"
"dc129e1fa3","28/8/2019","[{""start"":475;""end"":479;""duration"":9};{""start"":575;""end"":577;""duration"":7};{""start"":693;""end"":696;""duration"":8};{""start"":703;""end"":733;""duration"":35};{""start"":741;""end"":749;""duration"":13};{""start"":789;""end"":803;""duration"":19};{""start"":851;""end"":859;""duration"":13};{""start"":1225;""end"":1231;""duration"":11};{""start"":1302;""end"":1323;""duration"":26};{""start"":1330;""end"":1363;""duration"":38}]"
"dc129e1fa3","26/8/2019","[{""start"":558;""end"":559;""duration"":6};{""start"":822;""end"":823;""duration"":6};{""start"":899;""end"":909;""duration"":15};{""start"":971;""end"":972;""duration"":6};{""start"":987;""end"":990;""duration"":8};{""start"":1090;""end"":1095;""duration"":10};{""start"":1123;""end"":1125;""duration"":7};{""start"":1138;""end"":1148;""duration"":15};{""start"":1154;""end"":1187;""duration"":38};{""start"":1238;""end"":1240;""duration"":7}]"
"dc129e1fa3","27/8/2019","[{""start"":469;""end"":472;""duration"":8};{""start"":520;""end"":524;""duration"":9};{""start"":537;""end"":540;""duration"":8};{""start"":566;""end"":576;""duration"":15};{""start"":601;""end"":602;""duration"":6};{""start"":646;""end"":647;""duration"":6};{""start"":661;""end"":664;""duration"":8};{""start"":715;""end"":717;""duration"":7};{""start"":733;""end"":736;""duration"":8};{""start"":771;""end"":791;""duration"":25};{""start"":845;""end"":846;""duration"":6};{""start"":1132;""end"":1134;""duration"":7};{""start"":1143;""end"":1144;""duration"":6};{""start"":1167;""end"":1172;""duration"":10}]"
"dc129e1fa3","30/8/2019","[{""start"":469;""end"":471;""duration"":7};{""start"":535;""end"":536;""duration"":6};{""start"":581;""end"":582;""duration"":6};{""start"":770;""end"":778;""duration"":13};{""start"":805;""end"":808;""duration"":8};{""start"":816;""end"":833;""duration"":22};{""start"":901;""end"":904;""duration"":8};{""start"":915;""end"":918;""duration"":8};{""start"":926;""end"":943;""duration"":22};{""start"":953;""end"":954;""duration"":6};{""start"":977;""end"":978;""duration"":6};{""start"":1060;""end"":1064;""duration"":9};{""start"":1227;""end"":1249;""duration"":27};{""start"":1255;""end"":1260;""duration"":10};{""start"":1289;""end"":1299;""duration"":15};{""start"":1316;""end"":1327;""duration"":16};{""start"":1333;""end"":1334;""duration"":6}]"
"00a7b0a573","26/8/2019","[{""start"":0;""end"":1;""duration"":6};{""start"":188;""end"":213;""duration"":30};{""start"":233;""end"":237;""duration"":9};{""start"":260;""end"":271;""duration"":16};{""start"":277;""end"":283;""duration"":11};{""start"":289;""end"":313;""duration"":29};{""start"":325;""end"":332;""duration"":12};{""start"":360;""end"":370;""duration"":15}]"
"2f2e45fc03","26/8/2019","[{""start"":493;""end"":527;""duration"":39};{""start"":533;""end"":556;""duration"":28};{""start"":575;""end"":650;""duration"":80};{""start"":685;""end"":704;""duration"":24};{""start"":710;""end"":714;""duration"":9};{""start"":720;""end"":820;""duration"":105};{""start"":827;""end"":840;""duration"":18};{""start"":857;""end"":861;""duration"":9};{""start"":892;""end"":903;""duration"":16};{""start"":910;""end"":921;""duration"":16};{""start"":967;""end"":978;""duration"":16};{""start"":1017;""end"":1029;""duration"":17};{""start"":1041;""end"":1072;""duration"":36};{""start"":1083;""end"":1085;""duration"":7};{""start"":1099;""end"":1106;""duration"":12};{""start"":1112;""end"":1118;""duration"":11};{""start"":1149;""end"":1164;""duration"":20};{""start"":1188;""end"":1197;""duration"":14};{""start"":1307;""end"":1308;""duration"":6};{""start"":1315;""end"":1319;""duration"":9}]"
"2f2e45fc03","29/8/2019","[{""start"":484;""end"":498;""duration"":19};{""start"":521;""end"":538;""duration"":22};{""start"":613;""end"":636;""duration"":28};{""start"":676;""end"":682;""duration"":11};{""start"":715;""end"":721;""duration"":11};{""start"":739;""end"":741;""duration"":7};{""start"":753;""end"":767;""duration"":19};{""start"":829;""end"":849;""duration"":25};{""start"":885;""end"":904;""duration"":24};{""start"":955;""end"":957;""duration"":7};{""start"":969;""end"":1084;""duration"":120};{""start"":1094;""end"":1096;""duration"":7};{""start"":1103;""end"":1119;""duration"":21};{""start"":1139;""end"":1196;""duration"":62}]"
"2f2e45fc03","27/8/2019","[{""start"":472;""end"":496;""duration"":29};{""start"":503;""end"":517;""duration"":19};{""start"":547;""end"":562;""duration"":20};{""start"":572;""end"":646;""duration"":79};{""start"":655;""end"":657;""duration"":7};{""start"":667;""end"":694;""duration"":32};{""start"":730;""end"":756;""duration"":31};{""start"":765;""end"":775;""duration"":15};{""start"":782;""end"":813;""duration"":36};{""start"":852;""end"":901;""duration"":54};{""start"":909;""end"":918;""duration"":14};{""start"":1002;""end"":1004;""duration"":7};{""start"":1011;""end"":1042;""duration"":36};{""start"":1049;""end"":1057;""duration"":13};{""start"":1063;""end"":1064;""duration"":6};{""start"":1070;""end"":1174;""duration"":109};{""start"":1180;""end"":1222;""duration"":47};{""start"":1230;""end"":1232;""duration"":7};{""start"":1247;""end"":1248;""duration"":6};{""start"":1310;""end"":1312;""duration"":7}]"
"2f2e45fc03","1/9/2019","[{""start"":525;""end"":528;""duration"":8};{""start"":544;""end"":571;""duration"":32};{""start"":581;""end"":583;""duration"":7};{""start"":640;""end"":721;""duration"":86};{""start"":744;""end"":769;""duration"":30};{""start"":782;""end"":813;""duration"":36};{""start"":824;""end"":870;""duration"":51};{""start"":891;""end"":895;""duration"":9};{""start"":905;""end"":907;""duration"":7};{""start"":932;""end"":934;""duration"":7};{""start"":969;""end"":972;""duration"":8};{""start"":994;""end"":1029;""duration"":40};{""start"":1040;""end"":1042;""duration"":7};{""start"":1075;""end"":1089;""duration"":19};{""start"":1100;""end"":1146;""duration"":51};{""start"":1167;""end"":1170;""duration"":8};{""start"":1188;""end"":1192;""duration"":9}]"
"2f2e45fc03","30/8/2019","[{""start"":504;""end"":576;""duration"":77};{""start"":583;""end"":602;""duration"":24};{""start"":669;""end"":725;""duration"":61};{""start"":734;""end"":739;""duration"":10};{""start"":745;""end"":773;""duration"":33};{""start"":787;""end"":797;""duration"":15};{""start"":805;""end"":825;""duration"":25};{""start"":834;""end"":854;""duration"":25};{""start"":940;""end"":971;""duration"":36};{""start"":979;""end"":987;""duration"":13};{""start"":1003;""end"":1007;""duration"":9};{""start"":1032;""end"":1039;""duration"":12};{""start"":1046;""end"":1047;""duration"":6};{""start"":1063;""end"":1079;""duration"":21};{""start"":1093;""end"":1113;""duration"":25};{""start"":1121;""end"":1276;""duration"":160}]"
"2f2e45fc03","31/8/2019","[{""start"":504;""end"":514;""duration"":15};{""start"":551;""end"":597;""duration"":51};{""start"":667;""end"":697;""duration"":35};{""start"":708;""end"":829;""duration"":126};{""start"":846;""end"":850;""duration"":9};{""start"":892;""end"":929;""duration"":42};{""start"":936;""end"":988;""duration"":57};{""start"":995;""end"":1050;""duration"":60};{""start"":1061;""end"":1154;""duration"":98};{""start"":1163;""end"":1198;""duration"":40};{""start"":1216;""end"":1280;""duration"":69}]"
